"Name","Path","Size","LastWrite","Hash"
"App.tsx","C:\Users\rafae\OneDrive\Desktop\Rendizyoficial-main arquivos mais atualizado do github 09 12 2025\Rendizyoficial-main\App.tsx","58933","09/12/2025 20:38:30","9808824099356F9F46055C531986B1E4D336ECA9B28AA19C3B42FF55C448D78C"
"main.tsx","C:\Users\rafae\OneDrive\Desktop\Rendizyoficial-main arquivos mais atualizado do github 09 12 2025\Rendizyoficial-main\main.tsx","387","09/12/2025 20:38:34","E4907BA386050C62FB920FCED661DA75F4D865A9930A7D5088B77AF4D8704515"
"main.tsx","C:\Users\rafae\OneDrive\Desktop\Rendizyoficial-main arquivos mais atualizado do github 09 12 2025\Rendizyoficial-main\src\main.tsx","876","09/12/2025 20:39:18","00D3EE17DE29B67F568B679A7AE6ECB2A3EE4A194A350B0545CF37A0D041F8F6"
